task_name	task_code	task_file	instruction_dur	start_time	end_time
spatial_navigation	spatialnav	spatial_navigation_01.tsv	5	0	35
action_observation	acva-acvk	action_observation_01.tsv	5	35	70
semantic_prediction	sempred	semantic_prediction_01.tsv	5	70	105
oddball	odbal	oddball_01.tsv	5	105	140
movie	mov	movie_01.tsv	5	140	175
verb_generation	vrbgn-wrdrd	verb_generation_01.tsv	5	175	210
finger_sequence	fingseq	finger_sequence_01.tsv	5	210	245
theory_of_mind	tom	theory_of_mind_01.tsv	5	245	280
sentence_reading	senread	sentence_reading_01.tsv	5	280	315
n_back	nbko	n_back_01.tsv	5	315	350
contract_relax_glutes	contract_relax_glu	contract_relax_glutes_01.tsv	5	350	385
auditory_narrative	audnarr	auditory_narrative_01.tsv	5	385	420
flexion_extension	flexexten	flexion_extension_01.tsv	5	420	455
visual_search	visrchsml	visual_search_01.tsv	5	455	490
