task_name	task_code	task_file	instruction_dur	start_time	end_time
oddball	odbal	oddball_04.tsv	5	0	35
contract_relax_glutes	contract_relax_glu	contract_relax_glutes_04.tsv	5	35	70
visual_search	visrchsml	visual_search_04.tsv	5	70	105
verb_generation	vrbgn-wrdrd	verb_generation_04.tsv	5	105	140
auditory_narrative	audnarr	auditory_narrative_04.tsv	5	140	175
flexion_extension	flexexten	flexion_extension_04.tsv	5	175	210
n_back	nbko	n_back_04.tsv	5	210	245
semantic_prediction	sempred	semantic_prediction_04.tsv	5	245	280
spatial_navigation	spatialnav	spatial_navigation_04.tsv	5	280	315
sentence_reading	senread	sentence_reading_04.tsv	5	315	350
movie	mov	movie_04.tsv	5	350	385
action_observation	acva-acvk	action_observation_04.tsv	5	385	420
finger_sequence	fingseq	finger_sequence_04.tsv	5	420	455
theory_of_mind	tom	theory_of_mind_04.tsv	5	455	490
