task_name	task_code	task_file	instruction_dur	start_time	end_time
flexion_extension	flexexten	flexion_extension_03.tsv	5	0	35
auditory_narrative	audnarr	auditory_narrative_03.tsv	5	35	70
spatial_navigation	spatialnav	spatial_navigation_03.tsv	5	70	105
sentence_reading	senread	sentence_reading_03.tsv	5	105	140
oddball	odbal	oddball_03.tsv	5	140	175
contract_relax_glutes	contract_relax_glu	contract_relax_glutes_03.tsv	5	175	210
theory_of_mind	tom	theory_of_mind_03.tsv	5	210	245
action_observation	acva-acvk	action_observation_03.tsv	5	245	280
finger_sequence	fingseq	finger_sequence_03.tsv	5	280	315
n_back	nbko	n_back_03.tsv	5	315	350
verb_generation	vrbgn-wrdrd	verb_generation_03.tsv	5	350	385
semantic_prediction	sempred	semantic_prediction_03.tsv	5	385	420
movie	mov	movie_03.tsv	5	420	455
visual_search	visrchsml	visual_search_03.tsv	5	455	490
